SPM (Spatial Population Model)
Call: spm -m -g 0 
Date: Thu Nov 19 15:36:51 2015
v1.1-2015-11-19 (rev. 1270). Copyright (c) 2008-2015, NIWA
User name: dunn
Machine name: NIWA-34286 (Windows_NT, PID=5832)

[MCMC]
report.type: MCMC
Original covariance matrix:
1.16837e-009 -2.13186 8.24457e-006 6.38904e-006
-2.13186 4.28776e+009 -12428.3 -11631.5
8.24457e-006 -12428.3 0.131091 0.0662034
6.38904e-006 -11631.5 0.0662034 0.0890384
Proposal distribution covariance matrix:
1e-010 -0.589329 2.412e-006 1.86915e-006
-0.623688 4.28776e+009 -12428.3 -11631.5
2.412e-006 -12428.3 0.131091 0.0662034
1.86915e-006 -11631.5 0.0662034 0.0890384
Cholesky decomposition matrix:
1e-005 0 0 0
-62368.8 19947.2 0 0
0.2412 0.131102 0.236063 0
0.186915 0.00131526 0.0887348 0.215001
MCMC objective function values:
iteration score penalty prior likelihood acceptance_rate acceptance_rate_since_adapt stepsize
278000 280.693 0 0 280.693 0.404957 0.417331 0.484267
279000 280.878 0 0 280.878 0.405366 0.417899 0.484267
280000 280.039 0 0 281.12 0.405407 0.417894 0.484267
281000 281.919 0 0 285.849 0.405847 0.418508 0.484267
282000 281.085 0 0 281.085 0.406376 0.419258 0.484267
283000 279.993 3.13697e+010 0 603.561 0.406558 0.41947 0.484267
284000 281.383 0 0 282.593 0.406507 0.419321 0.484267
285000 279.956 0 0 279.956 0.406533 0.419292 0.484267
286000 282.085 0 0 282.085 0.406857 0.41972 0.484267
287000 281.509 0 0 301.229 0.407286 0.42031 0.484267
288000 280.704 0 0 280.704 0.407656 0.420809 0.484267
289000 281.275 0 0 286.387 0.407958 0.421201 0.484267
290000 280.845 0 0 290.153 0.408403 0.421811 0.484267
291000 280.629 0 0 280.629 0.408735 0.422246 0.484267
292000 280.081 0 0 280.081 0.40888 0.422396 0.484267
293000 282.519 0 0 293.243 0.408836 0.422259 0.484267
294000 282.506 0 0 282.506 0.40901 0.422454 0.484267
295000 283.391 0 0 284.258 0.409369 0.422928 0.484267
296000 284.6 0 0 284.6 0.409814 0.423531 0.484267
297000 283.041 0 0 283.226 0.409785 0.423416 0.484267
298000 284.107 0 0 284.107 0.409903 0.423525 0.484267
299000 283.27 0 0 283.27 0.410288 0.424035 0.484267
300000 280.587 0 0 280.587 0.410333 0.424035 0.484267
301000 279.858 0 0 335.344 0.410249 0.423841 0.484267
302000 281.927 0 0 290.151 0.409904 0.423257 0.484267
303000 280.576 0 0 292.262 0.409459 0.422527 0.484267
304000 280.15 0 0 284.845 0.409168 0.422029 0.484267
305000 281.172 0 0 281.372 0.408967 0.421668 0.484267
306000 280.184 0 0 280.184 0.408791 0.421345 0.484267
307000 280.228 0 0 280.228 0.408521 0.420884 0.484267
308000 281.424 0 0 281.424 0.408692 0.421077 0.484267
309000 282.146 0 0 287.506 0.409078 0.421589 0.484267
310000 280.814 0 0 301.772 0.409487 0.422133 0.484267
311000 279.956 0 0 279.956 0.40991 0.422697 0.484267
312000 280.846 0 0 284.734 0.409897 0.422618 0.484267
313000 281.648 0 0 281.648 0.410131 0.422901 0.484267
314000 281.17 0 0 281.17 0.410182 0.422916 0.484267
315000 279.867 0 0 279.867 0.410083 0.422712 0.484267
316000 280.617 0 0 287.405 0.410187 0.422806 0.484267
317000 282.823 0 0 282.823 0.410268 0.422866 0.484267
318000 281.894 0 0 281.894 0.410346 0.422922 0.484267
319000 280.216 0 0 280.216 0.410351 0.422872 0.484267
320000 279.753 0 0 282.816 0.410375 0.42285 0.484267
321000 280.149 0 0 280.149 0.410502 0.422977 0.484267
322000 279.942 0 0 279.942 0.410497 0.422914 0.484267
323000 282.285 0 0 284.65 0.410628 0.423049 0.484267
324000 280.923 0 0 280.923 0.410522 0.422839 0.484267
325000 281.241 0 0 281.241 0.410422 0.42264 0.484267
326000 280.068 0 0 280.068 0.410607 0.422854 0.484267
327000 280.101 0 0 280.101 0.410801 0.423079 0.484267
328000 281.579 0 0 283.396 0.411149 0.423526 0.484267
329000 280.248 0 0 281.936 0.411271 0.423646 0.484267
330000 280.454 0 0 296.42 0.411445 0.423843 0.484267
331000 281.62 0 0 291.265 0.411574 0.423974 0.484267
332000 280.475 0 0 280.475 0.411452 0.423746 0.484267
333000 279.679 0 0 283.679 0.411204 0.423339 0.484267
334000 282.99 0 0 285.954 0.411066 0.42309 0.484267
335000 283.16 0 0 283.16 0.41129 0.423357 0.484267
336000 279.542 0 0 279.542 0.411363 0.423411 0.484267
337000 281.744 0 0 284.338 0.411599 0.423696 0.484267
338000 280.617 0 0 280.617 0.411734 0.423836 0.484267
339000 282.809 0 0 295.478 0.411546 0.423519 0.484267
340000 281.656 0 0 281.656 0.411541 0.423463 0.484267
341000 282.688 0 0 282.688 0.411777 0.423747 0.484267
342000 280.423 0 0 280.423 0.412137 0.424207 0.484267
343000 280.636 0 0 280.636 0.412382 0.424502 0.484267
344000 283.342 0 0 357.622 0.41241 0.424492 0.484267
345000 284.976 0 0 284.976 0.412191 0.424135 0.484267
346000 282.305 0 0 282.305 0.412355 0.424317 0.484267
347000 280.756 0 0 285.762 0.412484 0.424449 0.484267
348000 279.63 0 0 279.63 0.412733 0.42475 0.484267
349000 282.477 0 0 285.699 0.412828 0.424835 0.484267
350000 280.055 0 0 280.055 0.412754 0.424684 0.484267
351000 279.738 0 0 294.939 0.412635 0.42447 0.484267
352000 279.551 0 0 283.938 0.412628 0.424413 0.484267
353000 280.484 0 0 280.484 0.412884 0.424723 0.484267
354000 281.349 0 0 281.349 0.413096 0.424972 0.484267
355000 280.72 0 0 280.72 0.413394 0.425341 0.484267
356000 280.719 0 0 280.942 0.413753 0.425793 0.484267
357000 280.734 0 0 281.103 0.413997 0.426086 0.484267
358000 279.95 0 0 362.91 0.414039 0.426097 0.484267
359000 282.574 0 0 286.098 0.414031 0.426039 0.484267
360000 283.825 0 0 285.497 0.41395 0.425881 0.484267
361000 282.97 0 0 282.97 0.413898 0.425762 0.484267
362000 283.375 0 0 285.72 0.413837 0.425634 0.484267
363000 279.801 0 0 281.418 0.413667 0.425354 0.484267
364000 282.447 0 0 282.806 0.413959 0.425712 0.484267
365000 279.608 0 0 334.191 0.414255 0.426075 0.484267
366000 279.704 0 0 280.877 0.414153 0.425891 0.484267
367000 281.662 0 0 284.251 0.413997 0.425633 0.484267
